Date (DMY),Practice time (hours),Cumulative practice time (hours)
15/03/2021,0.5,0.5
16/03/2021,1.0,1.5
17/03/2021,0.43,1.93
18/03/2021,0.28,2.21
19/03/2021,0.083333333,2.293333333
21/03/2021,0.0,2.293333333
21/03/2021,0.016666667,2.31
22/03/2021,1.283333333,3.593333333
23/03/2021,0.1,3.693333333
23/03/2021,0.11666666699999999,3.81
23/03/2021,0.11666666699999999,3.9266666669999997
25/03/2021,0.083333333,4.01
27/03/2021,0.166666667,4.176666667
06/04/2021,0.083333333,4.26
07/04/2021,0.1,4.36
07/04/2021,0.5,4.86
